target_bpp,n_images,n_success,psnr_mean,psnr_std,psnr_min,psnr_max,ssim_mean,ssim_std,ssim_min,ssim_max,mse_mean,mse_std,mse_min,mse_max,ber_mean,ber_std,ber_min,ber_max,payload_recovery_%_mean,payload_recovery_%_std,payload_recovery_%_min,payload_recovery_%_max
0.001,1,1,77.07,,77.07,77.07,1.0,,1.0,1.0,0.0013,,0.0013,0.0013,0.0,,0.0,0.0,100.0,,100.0,100.0
0.005,1,1,75.95,,75.95,75.95,1.0,,1.0,1.0,0.0017,,0.0017,0.0017,0.0,,0.0,0.0,100.0,,100.0,100.0
0.01,1,1,73.17,,73.17,73.17,1.0,,1.0,1.0,0.0031,,0.0031,0.0031,0.0,,0.0,0.0,100.0,,100.0,100.0
0.02,1,1,70.29,,70.29,70.29,0.9999,,0.9999,0.9999,0.0061,,0.0061,0.0061,0.0,,0.0,0.0,100.0,,100.0,100.0
0.05,1,1,65.85,,65.85,65.85,0.9998,,0.9998,0.9998,0.0169,,0.0169,0.0169,0.0,,0.0,0.0,100.0,,100.0,100.0
0.1,1,1,62.77,,62.77,62.77,0.9995,,0.9995,0.9995,0.0343,,0.0343,0.0343,0.0,,0.0,0.0,100.0,,100.0,100.0
