image_id,image_hw,target_bpp,target_bits,target_bytes,payload_bytes,payload_bits,actual_bpp,psnr,ssim,mse,ber,payload_recovery_%,cover_recovery_%,embed_time_s,extract_time_s,max_capacity_bits,status
stego_s2.png,525×417,0.001,218,27,1,8,3.7e-05,77.07,1.0,0.0013,0.0,100.0,100.0,0.0875,2.7573,460477,success
stego_s2.png,525×417,0.005,1094,136,44,352,0.001608,75.95,1.0,0.0017,0.0,100.0,100.0,0.08,2.7998,460477,success
stego_s2.png,525×417,0.01,2189,273,181,1448,0.006614,73.17,1.0,0.0031,0.0,100.0,100.0,0.0891,2.8065,460477,success
stego_s2.png,525×417,0.02,4378,547,455,3640,0.016627,70.29,0.9999,0.0061,0.0,100.0,100.0,0.0887,2.7744,460477,success
stego_s2.png,525×417,0.05,10946,1368,1276,10208,0.046628,65.85,0.9998,0.0169,0.0,100.0,100.0,0.0995,2.8259,460477,success
stego_s2.png,525×417,0.1,21892,2736,2644,21152,0.096618,62.77,0.9995,0.0343,0.0,100.0,100.0,0.1098,2.8117,460477,success
