image,image_type,chi_sq_stat,degrees_of_freedom,p_value,alpha,suspected_stego,interpretation,method
stego (14).png,cover,722.0854,116,0.0,0.05,False,Natural / clean image — PoV pairs non-uniform (p < 0.05),Chi-Square PoV (Westfeld & Pfitzmann 2000)
stego (14).png,stego,722.0854,116,0.0,0.05,False,Natural / clean image — PoV pairs non-uniform (p < 0.05),Chi-Square PoV (Westfeld & Pfitzmann 2000)
