image,image_type,R_rate,S_rate,RM_rate,SM_rate,p_estimate,groups_analysed,method
stego_chalsa (8).png,cover,0.25102,0.05182,0.2468,0.05396,0.0,50000,RS Analysis (Fridrich et al. 2001)
stego_chalsa (8).png,stego,0.28674,0.14942,0.29798,0.14626,0.0,50000,RS Analysis (Fridrich et al. 2001)
