image,image_type,E_pairs,O_pairs,EE_pairs,OO_pairs,total_pairs,p_estimate,D_asymmetry,method
stego_chalsa (8).png,cover,801989,801988,2614669,2635473,6854119,1e-06,1,SPA (Dumitrescu et al. 2003)
stego_chalsa (8).png,stego,52260,52260,133538,70641,308699,0.0,0,SPA (Dumitrescu et al. 2003)
