image_id,image_hw,target_bpp,target_bits,target_bytes,payload_bytes,payload_bits,actual_bpp,psnr,ssim,mse,ber,payload_recovery_%,cover_recovery_%,embed_time_s,extract_time_s,max_capacity_bits,status
stego_s2 (15).png,512×512,0.001,262,32,1,8,3.1e-05,78.07,1.0,0.001,0.0,100.0,100.0,1.3923,27.9001,561881,success
stego_s2 (15).png,512×512,0.005,1310,163,71,568,0.002167,75.7,1.0,0.0017,0.0,100.0,100.0,1.3325,12.5751,561881,success
stego_s2 (15).png,512×512,0.01,2621,327,235,1880,0.007172,72.84,1.0,0.0034,0.0,100.0,100.0,0.4054,26.1733,561881,success
stego_s2 (15).png,512×512,0.02,5242,655,563,4504,0.017181,69.93,1.0,0.0066,0.0,100.0,100.0,0.7459,25.865,561881,success
stego_s2 (15).png,512×512,0.05,13107,1638,1546,12368,0.04718,65.81,0.9999,0.0171,0.0,100.0,100.0,0.918,40.254,561881,success
stego_s2 (15).png,512×512,0.1,26214,3276,3184,25472,0.097168,62.68,0.9998,0.0351,0.0,100.0,100.0,1.2728,12.7326,561881,success
