target_bpp,n_images,n_success,psnr_mean,psnr_std,psnr_min,psnr_max,ssim_mean,ssim_std,ssim_min,ssim_max,mse_mean,mse_std,mse_min,mse_max,ber_mean,ber_std,ber_min,ber_max,payload_recovery_%_mean,payload_recovery_%_std,payload_recovery_%_min,payload_recovery_%_max
0.001,1,1,78.07,,78.07,78.07,1.0,,1.0,1.0,0.001,,0.001,0.001,0.0,,0.0,0.0,100.0,,100.0,100.0
0.005,1,1,75.7,,75.7,75.7,1.0,,1.0,1.0,0.0017,,0.0017,0.0017,0.0,,0.0,0.0,100.0,,100.0,100.0
0.01,1,1,72.84,,72.84,72.84,1.0,,1.0,1.0,0.0034,,0.0034,0.0034,0.0,,0.0,0.0,100.0,,100.0,100.0
0.02,1,1,69.93,,69.93,69.93,1.0,,1.0,1.0,0.0066,,0.0066,0.0066,0.0,,0.0,0.0,100.0,,100.0,100.0
0.05,1,1,65.81,,65.81,65.81,0.9999,,0.9999,0.9999,0.0171,,0.0171,0.0171,0.0,,0.0,0.0,100.0,,100.0,100.0
0.1,1,1,62.68,,62.68,62.68,0.9998,,0.9998,0.9998,0.0351,,0.0351,0.0351,0.0,,0.0,0.0,100.0,,100.0,100.0
