target_bpp,n_images,n_success,psnr_mean,psnr_std,psnr_min,psnr_max,ssim_mean,ssim_std,ssim_min,ssim_max,mse_mean,mse_std,mse_min,mse_max,ber_mean,ber_std,ber_min,ber_max,payload_recovery_%_mean,payload_recovery_%_std,payload_recovery_%_min,payload_recovery_%_max
0.001,1,1,85.7,,85.7,85.7,1.0,,1.0,1.0,0.0002,,0.0002,0.0002,0.0,,0.0,0.0,100.0,,100.0,100.0
0.005,1,1,77.26,,77.26,77.26,1.0,,1.0,1.0,0.0012,,0.0012,0.0012,0.0,,0.0,0.0,100.0,,100.0,100.0
0.01,1,1,74.15,,74.15,74.15,1.0,,1.0,1.0,0.0025,,0.0025,0.0025,0.0,,0.0,0.0,100.0,,100.0,100.0
0.02,1,1,70.96,,70.96,70.96,1.0,,1.0,1.0,0.0052,,0.0052,0.0052,0.0,,0.0,0.0,100.0,,100.0,100.0
0.05,1,1,66.72,,66.72,66.72,0.9999,,0.9999,0.9999,0.0138,,0.0138,0.0138,0.0,,0.0,0.0,100.0,,100.0,100.0
0.1,1,1,63.84,,63.84,63.84,0.9999,,0.9999,0.9999,0.0268,,0.0268,0.0268,0.0,,0.0,0.0,100.0,,100.0,100.0
