image_id,image_hw,requested_bpp,target_bpp,target_bits,target_bytes,payload_size_bytes,payload_size_bits,payload_bytes,payload_bits,actual_bpp,actual_raw_bpp,actual_embedded_bpp,psnr,ssim,mse,ber,extraction_success,recovery_success,payload_recovery_%,cover_recovery_%,usable_capacity_bits,theoretical_capacity_bits,capacity_utilization_%,embed_time_s,extract_time_s,max_capacity_bits,status
stego (15).png,1024×1024,0.001,0.001,1048,131,39,312,39,312,0.000298,0.000298,0.000908,85.7,1.0,0.0002,0.0,True,False,100.0,99.99,1842102,2097486,0.05,1.9266,0.8085,1842102,success
stego (15).png,1024×1024,0.005,0.005,5242,655,563,4504,563,4504,0.004295,0.004295,0.004906,77.26,1.0,0.0012,0.0,True,False,100.0,99.94,1842102,2097486,0.28,3.3552,0.8582,1842102,success
stego (15).png,1024×1024,0.01,0.01,10485,1310,1218,9744,1218,9744,0.009293,0.009293,0.009903,74.15,1.0,0.0025,0.0,True,False,100.0,99.88,1842102,2097486,0.56,2.4557,0.8002,1842102,success
stego (15).png,1024×1024,0.02,0.02,20971,2621,2529,20232,2529,20232,0.019295,0.019295,0.019905,70.96,1.0,0.0052,0.0,True,False,100.0,99.75,1842102,2097486,1.13,2.2499,1.0884,1842102,success
stego (15).png,1024×1024,0.05,0.05,52428,6553,6461,51688,6461,51688,0.049294,0.049294,0.049904,66.72,0.9999,0.0138,0.0,True,False,100.0,99.38,1842102,2097486,2.84,2.2328,0.8703,1842102,success
stego (15).png,1024×1024,0.1,0.1,104857,13107,13015,104120,13015,104120,0.099297,0.099297,0.099907,63.84,0.9999,0.0268,0.0,True,False,100.0,98.75,1842102,2097486,5.69,3.0101,0.9745,1842102,success
