image_id,image_hw,requested_bpp,target_bpp,target_bits,target_bytes,payload_size_bytes,payload_size_bits,payload_bytes,payload_bits,actual_bpp,actual_raw_bpp,actual_embedded_bpp,psnr,ssim,mse,ber,extraction_success,recovery_success,payload_recovery_%,cover_recovery_%,usable_capacity_bits,theoretical_capacity_bits,capacity_utilization_%,embed_time_s,extract_time_s,max_capacity_bits,status
stego_s2 (11).png,261×261,0.001,0.001,68,8,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (384904 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s2 (11).png,261×261,0.005,0.005,340,42,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (384904 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s2 (11).png,261×261,0.01,0.01,681,85,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (384904 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s2 (11).png,261×261,0.02,0.02,1362,170,78,624,78,624,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (385520 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s2 (11).png,261×261,0.05,0.05,3406,425,333,2664,333,2664,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387560 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s2 (11).png,261×261,0.1,0.1,6812,851,759,6072,759,6072,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (390968 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s1 (11).png,261×261,0.001,0.001,68,8,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (384840 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s1 (11).png,261×261,0.005,0.005,340,42,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (384840 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s1 (11).png,261×261,0.01,0.01,681,85,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (384840 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s1 (11).png,261×261,0.02,0.02,1362,170,78,624,78,624,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (385456 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s1 (11).png,261×261,0.05,0.05,3406,425,333,2664,333,2664,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387496 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s1 (11).png,261×261,0.1,0.1,6812,851,759,6072,759,6072,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (390904 bits) exceeds non-bootstrap capacity (134900 bits = 67396 EMD pairs × 2 + 36 OLSB 
stego_s2 (10).png,512×512,0.001,0.001,262,32,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1370456 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s2 (10).png,512×512,0.005,0.005,1310,163,71,568,71,568,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1371016 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s2 (10).png,512×512,0.01,0.01,2621,327,235,1880,235,1880,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1372328 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s2 (10).png,512×512,0.02,0.02,5242,655,563,4504,563,4504,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1374952 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s2 (10).png,512×512,0.05,0.05,13107,1638,1546,12368,1546,12368,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1382816 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s2 (10).png,512×512,0.1,0.1,26214,3276,3184,25472,3184,25472,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1395920 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s1 (10).png,512×512,0.001,0.001,262,32,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1370864 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s1 (10).png,512×512,0.005,0.005,1310,163,71,568,71,568,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1371424 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s1 (10).png,512×512,0.01,0.01,2621,327,235,1880,235,1880,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1372736 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s1 (10).png,512×512,0.02,0.02,5242,655,563,4504,563,4504,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1375360 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s1 (10).png,512×512,0.05,0.05,13107,1638,1546,12368,1546,12368,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1383224 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s1 (10).png,512×512,0.1,0.1,26214,3276,3184,25472,3184,25472,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (1396328 bits) exceeds non-bootstrap capacity (508781 bits = 254056 EMD pairs × 2 + 223 OL
stego_s2 (9).png,256×256,0.001,0.001,65,8,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387672 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s2 (9).png,256×256,0.005,0.005,327,40,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387672 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s2 (9).png,256×256,0.01,0.01,655,81,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387672 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s2 (9).png,256×256,0.02,0.02,1310,163,71,568,71,568,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (388232 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s2 (9).png,256×256,0.05,0.05,3276,409,317,2536,317,2536,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (390200 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s2 (9).png,256×256,0.1,0.1,6553,819,727,5816,727,5816,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (393480 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s1 (9).png,256×256,0.001,0.001,65,8,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387672 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s1 (9).png,256×256,0.005,0.005,327,40,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387672 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s1 (9).png,256×256,0.01,0.01,655,81,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (387672 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s1 (9).png,256×256,0.02,0.02,1310,163,71,568,71,568,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (388232 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s1 (9).png,256×256,0.05,0.05,3276,409,317,2536,317,2536,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (390200 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
stego_s1 (9).png,256×256,0.1,0.1,6553,819,727,5816,727,5816,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload body (393480 bits) exceeds non-bootstrap capacity (129365 bits = 64348 EMD pairs × 2 + 223 OLSB
