Model,Average Rank
CNN-DA-EMD-OLSB,1.0
EMD-OLSB RDH,2.3333
MPEH-RDH,3.3333
MCSH-RDH,3.3333
CNN-RDH Predictor,5.0
SRDNN-Stego,6.0
