image,MPEH-RDH,MCSH-RDH,CNN-RDH Predictor,SRDNN-Stego,EMD-OLSB RDH,CNN-DA-EMD-OLSB
stego (15).png,85.25,83.14,80.34,78.67,83.96,86.99
stego (14).png,77.08,77.78,73.94,71.5,77.89,82.16
stego_s2 (22).png,76.78,77.18,74.06,72.67,78.31,79.72
